fast-vm image name;platform (bios/eufi);architecture (x86_64);github distribution directory;fast-vm image file directory;fast-vm image file name;libvirt xml file name ;hack file name ;extra file name (optional);xz image file size in bytes; zst image file size in bytes;location;file containing description for image; all further values are ignored

os-15.0;bios;x86_64;opensuse;opensuse;6g__opensuse-15.0;opensuse-15.xml;6g_opensuse-15.0-hacks.sh;;200742764;213300882;cz;;
os-15.1;bios;x86_64;opensuse;opensuse;6g__opensuse-15.1;opensuse-15.xml;6g_opensuse-15.0-hacks.sh;;208223768;221491274;cz;;
os-15.2;bios;x86_64;opensuse;opensuse;6g__opensuse-15.2;opensuse-15.xml;6g_opensuse-15.0-hacks.sh;;226325692;241309456;cz;;
os-15.3;bios;x86_64;opensuse;opensuse;6g__opensuse-15.3;opensuse-15.xml;6g_opensuse-15.3-hacks.sh;;231174924;243345026;cz;;
os-15.4;bios;x86_64;opensuse;opensuse;6g__opensuse-15.4;opensuse-15.xml;6g_opensuse-15.3-hacks.sh;;267555968;281686861;cz;;
